x,y,z,ESP
24.344,28.377,14.261,38.41978419510319
24.225,27.748,17.04,39.79380444983961
20.508,29.186,17.536,37.83793039414225
21.003,18.398,17.04,39.7938008633973
24.72,16.96,17.536,37.83792899959799
24.379,17.949,13.664,39.08023628262853
20.725,17.589,13.54,38.1548315073035
20.849,28.197,13.664,39.08029906071519
24.503,28.557,13.54,38.154846084761616
23.66,27.819,16.977,39.18064622438831
21.22,29.401,17.493,38.05543557471019
21.568,18.327,16.977,39.18064137826964
24.008,16.745,17.493,38.05543414242595
23.844,17.49,13.609,38.18814388562143
21.281,17.025,13.457,37.801021273678906
21.384,28.656,13.609,38.18819657987821
23.947,29.121,13.457,37.80103936914006
22.614,23.073,22.33,34.33011468489574
23.192,23.073,21.301,36.2784615995693
22.614,23.691,21.699,35.46880533771309
22.036,23.073,21.301,36.27846151873725
22.614,22.455,21.699,35.46880436256777
22.614,23.073,9.28,34.32499215039799
23.143,23.073,10.056,35.698983112404974
22.614,22.554,10.155,36.003226867733225
22.085,23.073,10.056,35.698984869563354
22.614,23.592,10.155,36.00322951633891
22.614,24.302,21.609,35.418126650704664
23.225,23.684,21.569,35.9467205572322
22.033,23.654,21.272,36.288782026358895
22.614,21.844,21.609,35.418124466805686
22.003,22.462,21.569,35.94671977370385
23.195,22.492,21.272,36.28878146960248
22.614,22.117,10.624,36.95895452551851
23.136,22.551,10.181,36.11896167159814
22.102,22.561,10.28,36.11604963078467
22.614,24.029,10.624,36.95896341758434
22.092,23.595,10.181,36.11896663824526
23.126,23.585,10.28,36.11605043418877
23.667,23.073,20.726,37.20581715083898
21.561,23.073,20.726,37.205816818724145
23.667,23.073,10.133,35.68751055789491
21.561,23.073,10.133,35.6875139279915
24.68,23.073,20.419,37.68327108995733
24.434,23.695,21.324,36.824282789142316
24.123,23.073,20.406,37.533741159887406
20.548,23.073,20.419,37.68327016446628
21.117,23.585,20.278,37.507741919711
21.105,23.073,20.406,37.533740571253105
20.794,22.451,21.324,36.82428200957393
24.111,22.561,20.278,37.50774242623231
24.757,23.073,10.256,34.87292576909552
24.169,22.541,10.391,36.16568377570751
24.211,23.073,10.166,35.359022580920396
20.471,23.073,10.256,34.8729310766333
21.0,22.521,10.201,35.02572921979001
21.017,23.073,10.166,35.35902711854554
21.059,23.605,10.391,36.165693404402354
24.228,23.625,10.201,35.02572735205814
23.821,23.682,21.378,36.59055393170731
21.585,23.592,20.5,37.216038437617655
21.407,22.464,21.378,36.59055326688834
23.643,22.554,20.5,37.216038509536396
23.643,22.554,10.359,36.33436814266092
21.545,22.534,10.164,35.64845457403912
21.585,23.592,10.359,36.334376084133055
23.683,23.612,10.164,35.64845353392038
23.787,24.246,21.092,36.72770527932893
21.541,24.146,20.612,36.80465038210396
21.441,21.9,21.092,36.72770389125294
23.687,22.0,20.612,36.80465030129056
23.608,22.079,10.631,36.85555311543351
21.66,22.119,10.823,36.73014164564703
21.62,24.067,10.631,36.85556947421961
23.568,24.027,10.823,36.73014537407728
22.614,25.732,21.833,33.53035458144526
22.614,24.902,21.458,35.06963731195264
23.236,24.893,21.324,35.93954878367894
21.992,24.893,21.324,34.72808244302851
22.614,20.414,21.833,33.530344631925075
22.614,21.244,21.458,35.06963356505327
21.992,21.253,21.324,35.93954543048429
23.236,21.253,21.324,34.72808016954575
22.614,21.313,11.18,37.642447059705084
22.614,21.738,11.028,37.43861018474817
23.136,21.547,10.486,37.14871843474157
22.173,21.782,11.247,37.38433096515828
22.614,24.833,11.18,37.64247490050472
22.614,24.408,11.028,37.43862801359417
22.092,24.599,10.486,37.148738765297054
23.055,24.364,11.247,37.38434508829401
23.213,24.26,21.28,36.24052398379769
21.995,24.3,21.475,35.48872516328069
22.015,21.886,21.28,36.24052225829696
23.233,21.846,21.475,35.48872367713937
23.133,22.044,10.359,36.726761643406086
22.155,22.163,10.944,37.04549137227503
22.095,24.102,10.359,36.7267725770641
23.073,23.983,10.944,37.045498511148764
22.599,27.367,20.599,35.77758427314873
23.243,26.895,19.88,36.95761284308125
22.007,26.765,19.729,36.81845426241338
22.629,18.779,20.599,35.7775726987734
21.985,19.251,19.88,36.957609050252394
23.221,19.381,19.729,36.818450986825
22.614,19.33,10.869,37.58563353339321
23.243,19.251,10.979,37.445081450654044
21.985,19.251,10.979,37.78619409771142
22.614,26.816,10.869,37.58570815457809
21.985,26.895,10.979,37.44522412698251
23.243,26.895,10.979,37.7862394133289
23.84,26.422,20.004,36.82116955091213
23.273,26.606,20.482,36.04336065702417
21.325,26.595,20.241,34.827931192223375
21.966,26.549,20.4,35.00040701643171
21.388,19.724,20.004,36.82116714549002
21.955,19.54,20.482,36.043355137575475
23.903,19.551,20.241,34.82792900201375
23.262,19.597,20.4,35.00040159831852
23.882,19.609,10.698,36.75192893166049
23.241,19.711,10.622,36.91305965864345
21.304,19.493,10.54,36.89878495897436
22.029,19.939,10.948,37.405876004352166
21.346,26.537,10.698,36.75208218975688
21.987,26.435,10.622,36.91315166283552
23.924,26.653,10.54,36.89880599217081
23.199,26.207,10.948,37.405916445897404
22.597,26.81,21.015,34.44994789599355
22.631,19.336,21.015,34.44993532088335
22.614,20.017,10.857,37.367647813378746
22.614,26.129,10.857,37.36770606227644
23.223,25.369,20.721,35.99930128544747
22.614,25.996,20.898,34.78264842276704
21.973,25.488,20.994,34.19192957992695
22.005,20.777,20.721,35.99929762143461
22.614,20.15,20.898,34.78264194917014
23.255,20.658,20.994,34.191926660227715
23.16,21.014,10.686,37.27780643633814
22.614,20.763,11.108,37.67677696089753
