x,y,z,ESP,MHP
-1.564,19.166,7.069,-15.826823646426318,0.08628049328521664
-1.635,19.533,7.837,-16.499476820486134,0.0762761676925659
-7.801,19.388,7.805,-16.217051477466043,0.10164492888990137
-7.541,16.239,7.774,-16.38896336285688,0.07981756619014319
-0.766,15.465,7.942,-15.873280619852723,0.08701801073857507
-0.593,15.368,6.931,-14.824961246723197,0.08339271299450711
-7.454,16.288,7.131,-16.081221674425738,0.08099630921951007
-8.67,19.872,6.983,-16.861487546502573,0.09293735922808449
-1.809,19.436,7.078,-16.093207341059347,0.0753202415549345
-0.94,18.602,8.722,-16.174492391544774,0.16470151205149558
-9.043,18.672,8.871,-16.041258006305423,0.2563049312908726
-7.733,17.105,8.388,-16.17577749753126,0.1385687595973209
-1.312,16.962,8.6,-16.020793780389,0.0803346856208318
-0.382,16.757,5.99,-12.329388608728742,0.10334849073633529
-8.198,17.003,6.354,-15.215123883541988,0.15761548884485393
-8.943,18.643,6.112,-16.221814021661515,0.14021682700919905
-0.754,18.643,6.112,-13.775821636618875,0.14946423224973848
-1.252,18.98,8.686,-16.29540574642239,0.1465505366813948
-8.904,19.163,8.869,-16.158476340405613,0.23540886752898071
-7.545,16.812,8.376,-16.198091959951267,0.11867123187053699
-1.432,16.564,8.624,-16.04898287633114,0.07550597718193451
-0.623,16.285,5.991,-13.04977257345932,0.09978012039143502
-7.905,16.688,6.394,-15.344205124345729,0.1308201761086451
-8.534,19.011,6.177,-16.405209243374117,0.11342467964884667
-1.252,18.98,6.208,-14.842977285964636,0.1234478633855888
-1.312,18.894,8.226,-16.131611521492957,0.11698503190858725
-9.052,19.138,8.377,-16.497599364236088,0.18675062804095852
-7.733,16.8,8.083,-16.32338197534027,0.11140533527143343
-1.033,16.497,8.288,-15.745635836474882,0.07782104196965481
-0.382,16.284,6.463,-13.21133521272405,0.08666455560807693
-7.733,16.8,6.811,-15.745324510622837,0.10840290923542786
-8.943,19.076,6.545,-16.59438778401377,0.12178901073923347
-1.312,18.894,6.668,-15.17571447295608,0.1084221172070089
-4.848,22.641,7.447,-13.219507588829718,0.0869574060104584
-4.848,22.617,7.927,-13.060542144174182,0.06439644628038704
-4.378,22.518,7.447,-13.704863971644098,0.10137347456696405
-5.329,22.617,7.447,-12.98307079706585,0.07041516621421652
-4.932,12.251,7.48,-18.07499646342053,0.09345923019594515
-4.917,12.283,8.046,-17.978059469497065,0.09716109245569055
-5.319,12.964,7.447,-17.851807113398337,0.06595679642522873
-4.36,12.272,7.488,-18.012746047855632,0.07839182820962552
-4.912,12.277,6.903,-18.17917966600856,0.08669872502587872
-4.848,22.518,6.976,-13.846020015651204,0.09826226989451392
-3.931,22.351,7.447,-14.324825118310216,0.10633262451091349
-4.376,22.494,7.92,-13.559431301341256,0.06996270576486785
-5.804,22.547,7.447,-12.904036982280843,0.060958057825329176
-5.331,22.593,7.93,-12.752498160107907,0.057283400621086764
-5.765,13.131,7.447,-17.777443320436973,0.06339829752351936
-5.321,12.988,7.92,-17.789305703266223,0.06601790583053535
-3.776,12.356,7.49,-18.041341281220582,0.06800173015108764
-4.35,12.308,8.065,-17.991351451297163,0.08341129399978357
